CodSocio,qtd_dependentes
null,19
5702,12
6662,12
5569,12
6448,12
6084,12
4609,12
6238,10
6220,10
5374,10
6088,10
5047,10
5591,10
1749,10
3393,10
1757,10
448,10
5436,10
5877,10
5856,10
5850,10
1321,8
8720,8
3268,8
5697,8
5643,8
2515,8
5391,8
4764,8
6986,8
6684,8
3774,8
4231,8
6630,8
6587,8
6253,8
6127,8
6107,8
2423,8
11354,8
6066,8
293,8
2751,8
5952,8
5879,8
2901,8
5752,8
110,6
919,6
1300,6
1771,6
1858,6
2430,6
2662,6
3016,6
3042,6
3621,6
3649,6
3809,6
4052,6
4217,6
4658,6
4888,6
4945,6
5143,6
5166,6
5269,6
5273,6
5323,6
5415,6
5438,6
5464,6
5525,6
5598,6
5679,6
5699,6
5700,6
5854,6
5864,6
5868,6
5876,6
5887,6
5895,6
6126,6
6163,6
6250,6
6252,6
6254,6
6337,6
6421,6
6422,6
6472,6
6488,6
6517,6
6658,6
6659,6
6722,6
6895,6
6935,6
7125,6
7174,6
7407,6
7426,6
7925,6
8523,6
8546,6
8675,6
8897,6
10548,6
12831,6
13566,6
14176,6
14437,6
5444,4
5493,4
3049,4
2863,4
6412,4
9585,4
9660,4
8608,4
5894,4
14166,4
10016,4
5596,4
10155,4
5915,4
10285,4
6543,4
6586,4
5917,4
5945,4
6598,4
7790,4
6618,4
6619,4
5610,4
5731,4
10442,4
6007,4
6024,4
6672,4
1721,4
5617,4
5746,4
5619,4
6709,4
2324,4
5463,4
6741,4
5788,4
6758,4
6106,4
5515,4
3315,4
10629,4
6923,4
5520,4
3803,4
7466,4
5828,4
5661,4
6137,4
3911,4
5849,4
6956,4
2961,4
7967,4
2174,4
6225,4
2921,4
3782,4
5665,4
5541,4
2146,4
3723,4
7063,4
5559,4
4728,4
3589,4
6240,4
4795,4
5867,4
7064,4
4940,4
1032,4
5454,4
3512,4
5082,4
5485,4
9259,4
5875,4
7213,4
5190,4
5220,4
9303,4
7228,4
5272,4
6258,4
5279,4
6267,4
6280,4
5296,4
6282,4
7267,4
6301,4
6309,4
9339,4
3508,4
7330,4
3505,4
7812,4
11797,3
5165,2
5236,2
7244,2
5286,2
5291,2
5313,2
3511,2
5375,2
5376,2
5018,2
11891,2
5496,2
3502,2
3341,2
5623,2
5628,2
5650,2
5653,2
7795,2
5683,2
3311,2
12701,2
5705,2
5723,2
5725,2
5740,2
2979,2
5771,2
5795,2
5799,2
5815,2
5826,2
5848,2
5858,2
5860,2
8259,2
12757,2
12808,2
2910,2
5878,2
5912,2
2769,2
5972,2
5997,2
2601,2
6068,2
2479,2
6089,2
6096,2
2278,2
6108,2
6125,2
1576,2
2227,2
6129,2
148,2
6164,2
6219,2
6229,2
6231,2
6232,2
6239,2
9062,2
6251,2
2096,2
6344,2
6387,2
6398,2
6406,2
6429,2
1903,2
6462,2
6483,2
6512,2
1849,2
6591,2
6604,2
1733,2
6633,2
13863,2
1731,2
6687,2
6689,2
6704,2
6713,2
10598,2
6745,2
6801,2
6837,2
6863,2
10706,2
6940,2
3825,2
3837,2
3844,2
3943,2
4173,2
4211,2
4214,2
1581,2
4227,2
4237,2
4241,2
4557,2
4691,2
4771,2
4854,2
5095,2
11610,2
